Original Entry,Make,Model
Dodge Grand Caravan,Dodge,Grand Caravan
Dodge Hornet GT,Dodge,Hornet GT
Dodge Journey,Dodge,Journey
Dodge Ram 1500,Ram,1500
Dodge Ram 2500,Ram,2500
Dodge Ram 3500,Ram,3500
Dodge Ram Tradesman,Ram,Tradesman
Fiat 500L 4D,Fiat,500L 4D
Fiat 500X,Fiat,500X
Ford Bronco,Ford,Bronco
Ford Bronco Sport,Ford,Bronco Sport
Ford EcoSport,Ford,EcoSport
Ford Edge,Ford,Edge
Ford Expedition,Ford,Expedition
Ford Explorer,Ford,Explorer
Ford F-150,Ford,F-150
Ford F-250 Super Duty,Ford,F-250 Super Duty
Ford F-350 Super Duty,Ford,F-350 Super Duty
Ford Fiesta,Ford,Fiesta
Ford Focus,Ford,Focus
Ford Fusion,Ford,Fusion
Ford Maverick Hybrid,Ford,Maverick Hybrid
Ford Mustang Mach-E,Ford,Mustang Mach-E
Ford Ranger,Ford,Ranger
Ford Transit Cargo Van,Ford,Transit Cargo Van
Genesis G70,Genesis,G70
Genesis G90,Genesis,G90
Genesis GV70,Genesis,GV70
GMC Acadia,GMC,Acadia
GMC Canyon,GMC,Canyon
GMC Hummer EV,GMC,Hummer EV
GMC Sierra 1500,GMC,Sierra 1500
GMC Sierra 2500HD,GMC,Sierra 2500HD
GMC Sierra 3500HD,GMC,Sierra 3500HD
GMC Yukon Denali,GMC,Yukon Denali
Honda Civic,Honda,Civic
Honda CR-V Hybrid,Honda,CR-V Hybrid
Honda Odyssey Touring,Honda,Odyssey Touring
Honda Passport,Honda,Passport
Honda Ridgeline,Honda,Ridgeline
Hyundai Accent,Hyundai,Accent
Hyundai Elantra Hybrid,Hyundai,Elantra Hybrid
Hyundai Ioniq,Hyundai,Ioniq
Hyundai Palisade,Hyundai,Palisade
Hyundai Santa Cruz,Hyundai,Santa Cruz
Hyundai Sonata,Hyundai,Sonata
Hyundai Tucson Hybrid,Hyundai,Tucson Hybrid
Infiniti Q60,Infiniti,Q60
Infiniti QX50,Infiniti,QX50
Infiniti QX60,Infiniti,QX60
Jaguar E-Pace,Jaguar,E-Pace
Jaguar F-Pace S,Jaguar,F-Pace S
Jaguar I-Pace EV400,Jaguar,I-Pace EV400
Jeep Grand Cherokee L,Jeep,Grand Cherokee L
Jeep Grand Wagoneer,Jeep,Grand Wagoneer
Jeep Wrangler Unlimited 4xe,Jeep,Wrangler Unlimited 4xe
Kia Carnival,Kia,Carnival
Kia EV6,Kia,EV6
Kia Forte,Kia,Forte
Kia K5,Kia,K5
Kia Niro,Kia,Niro
Kia Optima,Kia,Optima
Kia Rio,Kia,Rio
Kia Seltos,Kia,Seltos
Kia Soul,Kia,Soul
Kia Sportage,Kia,Sportage
Kia Stinger,Kia,Stinger
Kia Telluride,Kia,Telluride
Lamborghini Urus,Lamborghini,Urus
Land Rover Defender,Land Rover,Defender
Land Rover Discovery Sport,Land Rover,Discovery Sport
Land Rover Range Rover Velar,Land Rover,Range Rover Velar
Lexus ES 350,Lexus,ES 350
Lexus GX 460,Lexus,GX 460
Lexus IS 500,Lexus,IS 500
Lexus NX 350,Lexus,NX 350
Lexus RX,Lexus,RX
Lincoln Aviator,Lincoln,Aviator
Lincoln Corsair,Lincoln,Corsair
Lincoln Navigator,Lincoln,Navigator
Maserati Ghibli,Maserati,Ghibli
Mazda 3 Sedan,Mazda,3 Sedan
Mazda CX-5,Mazda,CX-5
Mazda CX-50,Mazda,CX-50
Mercedes-Benz GLB 250,Mercedes-Benz,GLB 250
Mercedes-Benz C300 4MATIC,Mercedes-Benz,C300 4MATIC
Mercedes-Benz E350W,Mercedes-Benz,E350 Wagon
Mercedes-Benz GLE 350 4MATIC,Mercedes-Benz,GLE 350 4MATIC
Mercedes-Benz S580V4,Mercedes-Benz,S 580 4MATIC
Mercedes-Benz Sprinter Cargo Van,Mercedes-Benz,Sprinter Cargo Van
Mini Cooper Hardtop,Mini,Cooper Hardtop
Mitsubishi Eclipse Cross,Mitsubishi,Eclipse Cross
Mitsubishi Mirage,Mitsubishi,Mirage
Nissan Altima,Nissan,Altima
Nissan Armada,Nissan,Armada
Nissan Frontier Crew Cab,Nissan,Frontier Crew Cab
Nissan Kicks,Nissan,Kicks
Nissan Murano,Nissan,Murano
Nissan Rogue Sport,Nissan,Rogue Sport
Nissan Sentra,Nissan,Sentra
Nissan Titan XD 4WD,Nissan,Titan XD 4WD
Nissan Versa Sedan,Nissan,Versa Sedan
Porsche 718 Cayman,Porsche,718 Cayman
Porsche Cayenne,Porsche,Cayenne
Porsche Macan,Porsche,Macan
Porsche Taycan,Porsche,Taycan
Ram 1500 Big Horn,Ram,1500 Big Horn
Ram 1500 Classic,Ram,1500 Classic
Ram 2500 Big Horn,Ram,2500 Big Horn
Ram ProMaster 2500,Ram,ProMaster 2500
Subaru Ascent,Subaru,Ascent
Subaru Crosstrek,Subaru,Crosstrek
Subaru Impreza,Subaru,Impreza
Subaru Outback,Subaru,Outback
Tesla Model S Long Range,Tesla,Model S Long Range
Toyota 4Runner SR5,Toyota,4Runner SR5
Toyota Camry,Toyota,Camry
Toyota Corolla Cross,Toyota,Corolla Cross
Toyota Grand Highlander,Toyota,Grand Highlander
Toyota Highlander Hybrid,Toyota,Highlander Hybrid
Toyota RAV4,Toyota,RAV4
Toyota Tacoma 4WD,Toyota,Tacoma 4WD
Toyota Tundra 4WD Limited,Toyota,Tundra 4WD Limited
Toyota Venza,Toyota,Venza
Volkswagen Atlas Cross Sport,Volkswagen,Atlas Cross Sport
Volkswagen ID.4,Volkswagen,ID.4
Volkswagen Jetta,Volkswagen,Jetta
Volkswagen Taos,Volkswagen,Taos
Volvo XC60,Volvo,XC60
