Make,Model,Year,Transmission,Engine,Electrical,Brakes,Structural,HVAC,Amount
Chevrolet,Silverado,2018,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8000
GMC,C15 Full Size,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4000
Chrysler,300,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,7000
Dodge,Ram 3500,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7500
Chevrolet,Silverado,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8000
Dodge,Ram 5500,2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8000
GMC,Sierra 1500,2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10000
Chevrolet,Silverado 1500,2018,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10000
Dodge Ram,RAM 2500,2018,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7000
Chevrolet,Silverado,2020,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,7750
Dodge Ram,Ram 1500,2016,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9000
Chevrolet,Silverado,2019,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,20000
Fiat,500L 4D,2018,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4000
Hyundai,Tucson,2019,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3500
Dodge Ram,RAM 2500,2019,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,10500
Dodge Ram,Ram 1500,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8500
Chevrolet,Silverado 1500,2021,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5000
Dodge,Ram 2500,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,15000
Dodge Ram,Ram 1500,2021,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7000
Dodge Ram,Ram 3500,2020,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8000
Dodge Ram,Ram 1500,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7000
Dodge,Ram 1500,2018,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,10500
Nissan,Versa,2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3500
Chevrolet,Silverado,2018,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8000
Chevrolet,Silverado 1500,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15000
Cadillac,Escalade,2016,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,15000
Chevrolet,Silverado 1500,2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4500
GMC,Sierra 3500HD,2020,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,13000
Chevrolet,Silverado,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10000
Dodge Ram,RAM 2500,2018,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,12000
Dodge Ram,Ram 1500,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10500
GMC,Sierra,2020,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,11000
Dodge Ram,Ram 3500,2021,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5000
Chevrolet,Silverado,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4000
Chevrolet,Tahoe,2017,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7000
Chevrolet,Silverado 3500,2016,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5000
Dodge Ram,Ram 1500,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,11000
Chevrolet,Silverado 1500,2019,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,12000
Chevrolet,K1500,2017,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6000
GMC,Sierra,2018,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4500
Dodge Ram,Truck 150,2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6000
Chevrolet,Equinox,2018,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9000
GMC,Sierra 1500,2018,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8000
Buick,LaCrosse,2017,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,10000
Chevrolet,Silverado 1500,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7000
Dodge Ram,Ram 3500,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7500
GMC,Sierra,2017,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4000
Chevrolet,Silverado,2018,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10000
Dodge Ram,Ram 3500,2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6500
Chevrolet,Camaro,2018,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8000
Dodge,Ram 3500,2021,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,13500
Dodge Ram,Ram 1500,2018,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5000
GMC,Sierra,2017,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9000
Chevrolet,Colorado,2021,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5500
GMC,Sierra,2018,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,8000
GMC,Sierra 1500,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8500
Ford,Explorer 4WD,2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,15000
Chevrolet,Silverado 2500,2017,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8000
GMC,Sierra 1500,2021,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,12000
Chevrolet,Silverado 1500,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8000
GMC,Yukon XL,2017,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2500
Dodge Ram,Ram 1500 Big Horn,2021,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9500
GMC,Sierra 1500,2020,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,14000
Dodge Ram,Ram 1500,2021,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4000
GMC,Sierra 3500HD,2018,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9000
Chevrolet,Silverado 1500,2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,14000
Chevrolet,Silverado 1500,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5500
Chevy,Trax,2016,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5000
Dodge Ram,Ram 1500,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6000
GMC,Sierra Pick-up,2018,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4500
Chevrolet,Silverado,2021,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,12500
Chevrolet,Silverado 1500,2018,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8750
GMC,Sierra 1500,2021,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,9000
GMC,Sierra,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2500
GMC,Sierra 1500,2018,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6000
Dodge,Challenger,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,11500
Chevrolet,Silverado 3500,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8500
Dodge Ram,RAM 2500,2020,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5500
GMC,Sierra 1500,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3500
Dodge Ram,Ram 1500,2022,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,7000
Chevrolet,Silverado,2019,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4000
Chevrolet,Silverado 1500,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9000
GMC,Sierra 1500,2019,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6000
Dodge Ram,Ram 3500,2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10000
Dodge Ram,RAM 2500,2017,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,13500
Chevrolet,Equinox,2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,12500
Chevrolet,Silverado 2500HD,2020,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6000
GMC,Sierra,2017,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5000
Chevrolet,Silverado 1500,2019,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,10000
Dodge Ram,Ram 1500,2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7500
Dodge Ram,RAM 2500,2018,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,22750
Dodge Ram,Ram 1500,2020,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6000
Chevrolet,Silverado 1500,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8000
Chevrolet,Silverado,2019,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8000
Chevrolet,Silverado 1500,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5000
GMC,Sierra 2500HD,2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,15000
Chevrolet,Malibu,2020,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5000
Ford,EcoSport,2020,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,14000
Chevrolet,Silverado 2500HD,2017,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5000
Dodge,Ram 3500,2019,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7000
Chevrolet,Malibu,2019,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6500
Jeep,Compass,2018,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7000
Ford,Explorer,2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,20000
Chevrolet,Silverado,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8000
GMC,Sierra 1500,2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6000
Chevy,Malibu,2016,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4000
Chevrolet,Malibu,2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4000
Chevrolet,Malibu,2017,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5000
Dodge Ram,Ram 3500,2021,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8500
Dodge Ram,Ram 1500,2021,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,12000
Dodge Ram,RAM 2500,2018,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9000
Jeep,Cherokee 4D,2017,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7000
Chevrolet,Silverado 1500,2017,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,18000
GMC,Yukon XL,2021,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8000
Chevrolet,Traverse,2017,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7500
Dodge Ram,RAM 2500,2016,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1500
Dodge,Ram 1500,2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6000
Dodge Ram,Ram 1500,2020,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,12000
Chevrolet,Silverado,2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6000
Ford,EcoSport,2020,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8500
GMC,Sierra,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7500
Chevrolet,Trax,2020,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6000
Ford,F-250 SRW Super Duty,2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10000
Dodge Ram,Ram 3500,2020,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8500
Chevrolet,Silverado,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6000
GMC,Sierra,2017,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5000
Chevrolet,Silverado,2019,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5500
Chevrolet,Silverado 1500,2020,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,12000
Chevrolet,Colorado,2017,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8000
Ford,Explorer,2018,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4250
Chevrolet,Silverado 1500,2021,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,11000
Chevrolet,Silverado 1500,2021,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,14000
Dodge,Journey,2020,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,9500
Dodge Ram,RAM 2500,2019,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,14500
GMC,Sierra 2500HD,2020,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,14000
Jeep,Cherokee,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7500
Dodge,Charger,2017,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7000
GMC,Sierra 1500,2021,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,9000
Nissan,Rogue,2019,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6000
Ford,F-150,2020,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,15500
Chevrolet,Impala,2018,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4000
Toyota,Highlander,2017,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6000
Dodge Ram,Ram 1500,2020,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,10000
Dodge Ram,Ram 1500,2021,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10000
NIssan,Kicks,2020,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,6000
Chrysler,Pacifica,2018,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,14000
Chevrolet,Silverado 1500,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9000
Kia,Sorento,2021,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,10000
GMC,Sierra 1500,2017,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6000
Chevrolet,Silverado 1500,2019,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,10500
Buick,LaCrosse,2018,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8000
Chevrolet,Camaro,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,23000
Honda,Pilot,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,7000
Chevrolet,Silverado,2020,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,10000
Chevrolet,Impala,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8000
Chevrolet,Colorado,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,14000
Chevrolet,Silverado,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5500
Chevrolet,Colorado,2021,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,13000
NIssan,Sentra,2020,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5500
Cadillac,Escalade,2017,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,14000
GMC,Yukon XL,2017,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10000
GMC,Sierra,2019,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,10000
Chevrolet,Silverado 2500HD,2021,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,11500
Chevrolet,Silverado 1500,2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7000
Chevrolet,Silverado,2019,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6000
Chevrolet,Silverado,2019,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6500
GMC,Sierra 3500HD,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3500
Chevrolet,Silverado 1500,2022,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,12500
Ford,Edge,2018,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4000
Chevrolet,Sonic,2019,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,10000
Chevrolet,Silverado 1500,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,12000
Chevrolet,Silverado,2019,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6500
Buick,Encore,2017,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8000
Chevrolet,Silverado,2021,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8500
Chevrolet,Silverado 1500,2022,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6000
GMC,Sierra 1500,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8000
Chevrolet,Malibu,2017,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4000
Dodge,Journey,2018,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6500
Dodge Ram,Ram 1500,2021,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8000
Chevrolet,Silverado,2018,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4500
GMC,Sierra,2019,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8000
Cadillac,XT5,2017,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10000
Chevrolet,Silverado 1500,2020,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,9500
Cadillac,CTS Sedan,2017,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,6000
Fiat,500X,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,7000
GMC,Sierra 1500,2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,13000
Cadillac,XT5,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,7000
Chevrolet,Silverado,2020,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8000
Volkswagen,Atlas,2018,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,10000
Jeep,Compass,2019,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8500
Chevrolet,Silverado 1500,2021,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6500
GMC,Yukon 4WD,2017,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7500
Dodge Ram,RAM 2500,2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10000
Dodge Ram,Ram 1500,2019,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,13500
GMC,Yukon XL,2018,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8000
NIssan,Sentra,2021,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5000
GMC,Sierra 1500,2021,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,8000
